GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 880,572, Dev: 1,166
Initialized from: models/97_tuning/bs64_lr1em03_adamw/best_model.pt
Epoch 02 | 01900/13759 | loss 3.6302 | ppl 37.72 | lr 5.360734e-06 | 60.9s
Epoch 02 | 02000/13759 | loss 3.6302 | ppl 37.72 | lr 5.343698e-06 | 64.2s
Epoch 02 | 02100/13759 | loss 3.6302 | ppl 37.72 | lr 5.326824e-06 | 67.4s
Epoch 02 | 02200/13759 | loss 3.6303 | ppl 37.72 | lr 5.310109e-06 | 70.7s
Epoch 02 | 02300/13759 | loss 3.6298 | ppl 37.70 | lr 5.29355e-06 | 73.9s
Epoch 02 | 02400/13759 | loss 3.6289 | ppl 37.67 | lr 5.277145e-06 | 77.1s
Epoch 02 | 02500/13759 | loss 3.6292 | ppl 37.68 | lr 5.260891e-06 | 80.5s
Epoch 02 | 02600/13759 | loss 3.6297 | ppl 37.70 | lr 5.244787e-06 | 84.0s
Epoch 02 | 02700/13759 | loss 3.6296 | ppl 37.70 | lr 5.22883e-06 | 87.3s
Epoch 02 | 02800/13759 | loss 3.6308 | ppl 37.74 | lr 5.213018e-06 | 90.5s
Epoch 02 | 02900/13759 | loss 3.6301 | ppl 37.72 | lr 5.197348e-06 | 93.7s
Epoch 02 | 03000/13759 | loss 3.6296 | ppl 37.70 | lr 5.181819e-06 | 97.0s
Epoch 02 | 03100/13759 | loss 3.6299 | ppl 37.71 | lr 5.166428e-06 | 100.3s
Epoch 02 | 03200/13759 | loss 3.6303 | ppl 37.73 | lr 5.151173e-06 | 103.6s
Epoch 02 | 03300/13759 | loss 3.6303 | ppl 37.73 | lr 5.136053e-06 | 106.8s
Epoch 02 | 03400/13759 | loss 3.6299 | ppl 37.71 | lr 5.121065e-06 | 110.1s
Epoch 02 | 03500/13759 | loss 3.6296 | ppl 37.70 | lr 5.106207e-06 | 113.5s
Epoch 02 | 03600/13759 | loss 3.6304 | ppl 37.73 | lr 5.091478e-06 | 116.7s
Epoch 02 | 03700/13759 | loss 3.6304 | ppl 37.73 | lr 5.076876e-06 | 119.9s
Epoch 02 | 03800/13759 | loss 3.6297 | ppl 37.70 | lr 5.062399e-06 | 123.2s
Epoch 02 | 03900/13759 | loss 3.6296 | ppl 37.70 | lr 5.048045e-06 | 126.5s
Epoch 02 | 04000/13759 | loss 3.6297 | ppl 37.70 | lr 5.033812e-06 | 129.8s
Epoch 02 | 04100/13759 | loss 3.6301 | ppl 37.72 | lr 5.019699e-06 | 133.0s
Epoch 02 | 04200/13759 | loss 3.6301 | ppl 37.72 | lr 5.005704e-06 | 136.3s
Epoch 02 | 04300/13759 | loss 3.6298 | ppl 37.70 | lr 4.991826e-06 | 139.6s
Epoch 02 | 04400/13759 | loss 3.6301 | ppl 37.72 | lr 4.978062e-06 | 142.8s
Epoch 02 | 04500/13759 | loss 3.6302 | ppl 37.72 | lr 4.964411e-06 | 146.0s
Epoch 02 | 04600/13759 | loss 3.6298 | ppl 37.71 | lr 4.950873e-06 | 149.3s
Epoch 02 | 04700/13759 | loss 3.6295 | ppl 37.69 | lr 4.937444e-06 | 152.5s
Epoch 02 | 04800/13759 | loss 3.6297 | ppl 37.70 | lr 4.924124e-06 | 155.9s
Epoch 02 | 04900/13759 | loss 3.6295 | ppl 37.70 | lr 4.910911e-06 | 159.2s
Epoch 02 | 05000/13759 | loss 3.6302 | ppl 37.72 | lr 4.897804e-06 | 162.4s
Epoch 02 | 05100/13759 | loss 3.6303 | ppl 37.72 | lr 4.884802e-06 | 165.7s
Epoch 02 | 05200/13759 | loss 3.6302 | ppl 37.72 | lr 4.871902e-06 | 169.0s
Epoch 02 | 05300/13759 | loss 3.6296 | ppl 37.70 | lr 4.859104e-06 | 172.1s
Epoch 02 | 05400/13759 | loss 3.6298 | ppl 37.70 | lr 4.846406e-06 | 175.3s
Epoch 02 | 05500/13759 | loss 3.6298 | ppl 37.70 | lr 4.833808e-06 | 178.6s
Epoch 02 | 05600/13759 | loss 3.6301 | ppl 37.72 | lr 4.821307e-06 | 181.9s
Epoch 02 | 05700/13759 | loss 3.6296 | ppl 37.70 | lr 4.808903e-06 | 185.1s
Epoch 02 | 05800/13759 | loss 3.6298 | ppl 37.71 | lr 4.796594e-06 | 188.4s
Epoch 02 | 05900/13759 | loss 3.6299 | ppl 37.71 | lr 4.784379e-06 | 191.5s
Epoch 02 | 06000/13759 | loss 3.6296 | ppl 37.70 | lr 4.772256e-06 | 194.8s
Epoch 02 | 06100/13759 | loss 3.6299 | ppl 37.71 | lr 4.760226e-06 | 198.0s
Epoch 02 | 06200/13759 | loss 3.6300 | ppl 37.71 | lr 4.748286e-06 | 201.3s
Epoch 02 | 06300/13759 | loss 3.6300 | ppl 37.71 | lr 4.736435e-06 | 204.8s
Epoch 02 | 06400/13759 | loss 3.6306 | ppl 37.73 | lr 4.724673e-06 | 208.2s
Epoch 02 | 06500/13759 | loss 3.6303 | ppl 37.73 | lr 4.712998e-06 | 211.7s
Epoch 02 | 06600/13759 | loss 3.6304 | ppl 37.73 | lr 4.701409e-06 | 215.1s
Epoch 02 | 06700/13759 | loss 3.6302 | ppl 37.72 | lr 4.689905e-06 | 218.6s
Epoch 02 | 06800/13759 | loss 3.6301 | ppl 37.72 | lr 4.678485e-06 | 222.1s
Epoch 02 | 06900/13759 | loss 3.6299 | ppl 37.71 | lr 4.667148e-06 | 225.7s
Epoch 02 | 07000/13759 | loss 3.6301 | ppl 37.72 | lr 4.655894e-06 | 229.1s
Epoch 02 | 07100/13759 | loss 3.6300 | ppl 37.71 | lr 4.64472e-06 | 232.6s
Epoch 02 | 07200/13759 | loss 3.6303 | ppl 37.73 | lr 4.633626e-06 | 236.2s
Epoch 02 | 07300/13759 | loss 3.6305 | ppl 37.73 | lr 4.622611e-06 | 239.6s
Epoch 02 | 07400/13759 | loss 3.6307 | ppl 37.74 | lr 4.611675e-06 | 243.1s
Epoch 02 | 07500/13759 | loss 3.6306 | ppl 37.74 | lr 4.600816e-06 | 246.6s
Epoch 02 | 07600/13759 | loss 3.6306 | ppl 37.73 | lr 4.590033e-06 | 250.2s
