
========================================================================
Trial: bs64_lr3em04_adamw
========================================================================
GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 02 | 01500/06880 | loss 4.8030 | ppl 121.87 | lr 0.0002072666 | 51.5s
Epoch 02 | 01600/06880 | loss 4.7975 | ppl 121.20 | lr 0.0002060408 | 55.0s
Epoch 02 | 01700/06880 | loss 4.7932 | ppl 120.68 | lr 0.0002048366 | 58.6s
Epoch 02 | 01800/06880 | loss 4.7884 | ppl 120.10 | lr 0.0002036533 | 62.3s
Epoch 02 | 01900/06880 | loss 4.7828 | ppl 119.44 | lr 0.0002024902 | 65.8s
Epoch 02 | 02000/06880 | loss 4.7785 | ppl 118.92 | lr 0.0002013468 | 69.3s
Epoch 02 | 02100/06880 | loss 4.7730 | ppl 118.28 | lr 0.0002002226 | 72.7s
Epoch 02 | 02200/06880 | loss 4.7687 | ppl 117.77 | lr 0.000199117 | 76.0s
Epoch 02 | 02300/06880 | loss 4.7635 | ppl 117.16 | lr 0.0001980295 | 79.3s
Epoch 02 | 02400/06880 | loss 4.7588 | ppl 116.60 | lr 0.0001969596 | 82.5s
Epoch 02 | 02500/06880 | loss 4.7542 | ppl 116.07 | lr 0.0001959069 | 85.8s
Epoch 02 | 02600/06880 | loss 4.7488 | ppl 115.45 | lr 0.0001948709 | 89.1s
Epoch 02 | 02700/06880 | loss 4.7445 | ppl 114.95 | lr 0.0001938512 | 92.4s
Epoch 02 | 02800/06880 | loss 4.7401 | ppl 114.45 | lr 0.0001928473 | 95.7s
Epoch 02 | 02900/06880 | loss 4.7354 | ppl 113.90 | lr 0.0001918588 | 99.1s
Epoch 02 | 03000/06880 | loss 4.7306 | ppl 113.36 | lr 0.0001908854 | 102.4s
Epoch 02 | 03100/06880 | loss 4.7263 | ppl 112.87 | lr 0.0001899267 | 105.8s
Epoch 02 | 03200/06880 | loss 4.7220 | ppl 112.39 | lr 0.0001889822 | 109.1s
Epoch 02 | 03300/06880 | loss 4.7181 | ppl 111.95 | lr 0.0001880517 | 112.5s
Epoch 02 | 03400/06880 | loss 4.7140 | ppl 111.50 | lr 0.0001871349 | 115.8s
Epoch 02 | 03500/06880 | loss 4.7097 | ppl 111.02 | lr 0.0001862313 | 119.0s
Epoch 02 | 03600/06880 | loss 4.7059 | ppl 110.60 | lr 0.0001853406 | 122.3s
Epoch 02 | 03700/06880 | loss 4.7016 | ppl 110.13 | lr 0.0001844626 | 125.6s
Epoch 02 | 03800/06880 | loss 4.6976 | ppl 109.68 | lr 0.000183597 | 128.9s
Epoch 02 | 03900/06880 | loss 4.6932 | ppl 109.20 | lr 0.0001827435 | 132.4s
Epoch 02 | 04000/06880 | loss 4.6895 | ppl 108.80 | lr 0.0001819017 | 135.9s
Epoch 02 | 04100/06880 | loss 4.6857 | ppl 108.39 | lr 0.0001810715 | 139.4s
Epoch 02 | 04200/06880 | loss 4.6815 | ppl 107.93 | lr 0.0001802525 | 143.0s
Epoch 02 | 04300/06880 | loss 4.6770 | ppl 107.45 | lr 0.0001794446 | 146.5s
Epoch 02 | 04400/06880 | loss 4.6732 | ppl 107.04 | lr 0.0001786474 | 149.9s
Epoch 02 | 04500/06880 | loss 4.6691 | ppl 106.60 | lr 0.0001778608 | 153.2s
Epoch 02 | 04600/06880 | loss 4.6658 | ppl 106.25 | lr 0.0001770844 | 156.4s
Epoch 02 | 04700/06880 | loss 4.6619 | ppl 105.84 | lr 0.0001763181 | 159.6s
Epoch 02 | 04800/06880 | loss 4.6584 | ppl 105.47 | lr 0.0001755617 | 163.2s
Epoch 02 | 04900/06880 | loss 4.6545 | ppl 105.06 | lr 0.000174815 | 166.7s
Epoch 02 | 05000/06880 | loss 4.6504 | ppl 104.62 | lr 0.0001740777 | 170.2s
Epoch 02 | 05100/06880 | loss 4.6466 | ppl 104.22 | lr 0.0001733496 | 173.8s
Epoch 02 | 05200/06880 | loss 4.6429 | ppl 103.85 | lr 0.0001726306 | 177.4s
Epoch 02 | 05300/06880 | loss 4.6393 | ppl 103.47 | lr 0.0001719205 | 180.9s
Epoch 02 | 05400/06880 | loss 4.6356 | ppl 103.09 | lr 0.000171219 | 184.5s
Epoch 02 | 05500/06880 | loss 4.6318 | ppl 102.70 | lr 0.0001705261 | 188.0s
Epoch 02 | 05600/06880 | loss 4.6281 | ppl 102.32 | lr 0.0001698416 | 191.3s
Epoch 02 | 05700/06880 | loss 4.6243 | ppl 101.93 | lr 0.0001691652 | 194.5s
Epoch 02 | 05800/06880 | loss 4.6205 | ppl 101.54 | lr 0.0001684968 | 197.8s
Epoch 02 | 05900/06880 | loss 4.6171 | ppl 101.20 | lr 0.0001678363 | 201.1s
Epoch 02 | 06000/06880 | loss 4.6135 | ppl 100.84 | lr 0.0001671835 | 204.5s
Epoch 02 | 06100/06880 | loss 4.6099 | ppl 100.47 | lr 0.0001665382 | 207.8s
